customerNumber,customerName,contactLastName,contactFirstName,gender,phone,addressLine1,addressLine2,city,state,postalCode,country,salesRepEmployeeNumber,creditLimit,LTV
4284,Brandon Lyons,Lyons,Brandon,Male,(340)954-8869x739,321 Spruce Dr,,Omaha,NE,68101,United States,6202,2438.33,7707.94
2029,Eileen Smith,Smith,Eileen,Female,433-442-6243x54807,248 Birch Blvd,,Arlington,TX,76001,United States,2343,8720.57,3335.63
2392,Tiffany Huang,Huang,Tiffany,Female,5462944723,852 Cedar Ave,,Las Vegas,NV,89101,United States,4066,8682.98,1135.57
9077,Elizabeth Thompson,Thompson,Elizabeth,Female,372.517.3851,907 Oak St,,Sacramento,CA,94203,United States,6100,8986.35,8213.63
6221,Christian Carter,Carter,Christian,Male,(715)284-2840,467 Sycamore St,Apt 12,San Francisco,CA,94101,United States,5993,6556.8,3757.94
1020,Christian Bradford,Bradford,Christian,Male,330-463-1502,134 Redwood Dr,,Jacksonville,FL,32201,United States,8855,2747.03,4197.96
1834,Vanessa Perez,Perez,Vanessa,Female,876-508-0803,467 Sycamore St,Apt 12,San Francisco,CA,94101,United States,6141,5401.47,1105.18
2924,James Young,Young,James,Male,(581)901-6185x28663,852 Cedar Ave,,Las Vegas,NV,89101,United States,3668,5754.38,7417.62
9546,Jasmine Davis,Davis,Jasmine,Female,(273)685-3452,467 Sycamore St,Apt 12,San Francisco,CA,94101,United States,1474,4086.16,6249.28
4036,Lauren Flynn,Flynn,Lauren,Female,702-469-5422x78530,753 Chestnut Cir,,New Orleans,LA,70112,United States,2074,7946.42,6251.47
9241,John Edwards,Edwards,John,Male,(838)631-6852,789 Pine Dr,Unit 5B,Chicago,IL,60601,United States,7768,1442.73,4163.31
2854,Tyler Johnson,Johnson,Tyler,Male,(603)895-1320,753 Birch Cir,Suite 4,Portland,OR,97201,United States,4777,7025.65,7652.44
2125,Tina Collins,Collins,Tina,Female,+1-943-521-5830x47935,852 Palm Ave,,Dallas,TX,75201,United States,7579,8241.36,2050.93
8360,Christine Martin,Martin,Christine,Female,+1-700-963-5597x013,789 Pine Dr,Unit 5B,Chicago,IL,60601,United States,7992,2686.59,2222.31
7783,Amanda Craig,Craig,Amanda,Female,4258263551,987 Dogwood Rd,,Minneapolis,MN,55401,United States,1233,1632.3,9160.75
5295,Raymond Vang,Vang,Raymond,Male,001-958-698-8674x9624,321 Cypress Cir,,El Paso,TX,79901,United States,8834,1312.21,5873.61
6686,Tyler Chavez,Chavez,Tyler,Male,227.758.9820,890 Poplar Ave,Suite 20,Columbus,OH,43085,United States,9478,5338.76,2520.83
8253,Melissa West,West,Melissa,Female,001-585-796-6335x0482,951 Oak St,,Louisville,KY,40201,United States,3672,3387.63,9664.42
2723,Caitlyn Wilson,Wilson,Caitlyn,Female,001-764-395-5674x18758,890 Poplar Ave,Suite 20,Columbus,OH,43085,United States,1465,3284.12,4150.92
2695,Justin Hill,Hill,Justin,Male,711.965.1938x703,852 Palm Ave,,Dallas,TX,75201,United States,6568,4243.89,2377.18
1227,Joshua Powers,Powers,Joshua,Male,+1-260-698-4229x122,654 Fir St,,Nashville,TN,37201,United States,9446,1969.29,1838.77
9341,Robert Oconnell,Oconnell,Robert,Male,001-430-980-4825x469,679 Spruce Ln,,Santa Ana,CA,92701,United States,8824,8001.05,4548.2
6462,Kyle Johnson,Johnson,Kyle,Male,6025184656,321 Cypress Cir,,El Paso,TX,79901,United States,9837,7754.33,4167.81
3227,Joseph Carter,Carter,Joseph,Male,(922)623-5869x4624,951 Oak St,,Louisville,KY,40201,United States,1367,8708.57,9118.5
8752,Peter Mercer,Mercer,Peter,Male,518.596.7474x2589,467 Cedar St,,Anaheim,CA,92801,United States,2223,8716.88,8940.4
8981,Jacqueline Pope,Pope,Jacqueline,Female,259-204-0502x339,789 Maple Dr,Apt 3B,Denver,CO,80201,United States,7246,1831.88,2730.57
4398,Austin Knight,Knight,Austin,Male,+1-251-824-4453,134 Pine Ave,Suite 12,Bakersfield,CA,93301,United States,1418,9961.07,2575.39
7146,Jennifer Ryan,Ryan,Jennifer,Female,593-319-1062x30680,467 Cedar St,,Anaheim,CA,92801,United States,3457,8294.04,1986.53
7129,Samantha Smith,Smith,Samantha,Female,(341)466-0548x630,654 Elm St,Apt 4C,Phoenix,AZ,85001,United States,8316,6383.77,9319.89
6929,Carmen Ortega,Ortega,Carmen,Female,441.418.5058x645,456 Maple Ave,Apt 9B,Miami,FL,33101,United States,1909,7212.68,7507.39
4752,Michelle Arnold,Arnold,Michelle,Female,+1-513-943-5602,753 Birch Cir,Suite 4,Portland,OR,97201,United States,6304,5896.54,8995.66
4674,Wendy Velazquez,Velazquez,Wendy,Female,759-794-0035,654 Redwood St,Unit 8,Colorado Springs,CO,80901,United States,4399,5148.22,7920.65
8864,Christina Bell,Bell,Christina,Female,(252)647-0730x12870,753 Birch Cir,Suite 4,Portland,OR,97201,United States,1773,4761.22,8887.71
8015,Teresa Perez,Perez,Teresa,Female,630-994-4219,123 Chestnut St,,Detroit,MI,48201,United States,2755,9112.87,4096.81
7447,Jeremiah Goodwin,Goodwin,Jeremiah,Male,001-392-353-0705x0548,890 Poplar Ave,Suite 20,Columbus,OH,43085,United States,9241,7826.84,2548.5
1793,Justin Myers,Myers,Justin,Male,+1-413-278-5799x5870,467 Sycamore St,Apt 12,San Francisco,CA,94101,United States,1514,3512.4,9550.39
9435,Jesus Fields,Fields,Jesus,Male,252-331-1603x36674,654 Fir St,,Nashville,TN,37201,United States,9378,4052.0,8980.31
2551,Mark Campbell,Campbell,Mark,Male,+1-876-647-1738x2932,123 Maple St,Apt 2,New York,NY,10001,United States,1211,1812.88,5643.07
7230,Marcus Sandoval,Sandoval,Marcus,Male,721-670-1800,789 Pine Cir,,Raleigh,NC,27601,United States,3693,8843.26,5674.4
3471,Nathan Jones,Jones,Nathan,Male,999-844-9829x6997,890 Chestnut Ave,,Fresno,CA,93701,United States,3224,9643.39,3892.01
9362,Christopher Thompson,Thompson,Christopher,Male,(666)911-5284,890 Chestnut Ave,,Fresno,CA,93701,United States,8630,7388.52,5661.46
1579,Loretta Rich,Rich,Loretta,Female,001-544-396-0518,951 Hickory St,Apt 7,San Jose,CA,95101,United States,6051,3604.17,8436.03
6537,David Singh,Singh,David,Male,(653)406-5359x22347,134 Redwood Dr,,Jacksonville,FL,32201,United States,7008,4845.87,3605.98
9296,Janet Smith,Smith,Janet,Female,001-951-578-0069x705,159 Willow Ln,,Memphis,TN,38101,United States,1057,7646.73,8971.82
7137,Madison Spencer,Spencer,Madison,Female,+1-631-848-4119x7508,907 Walnut St,,Fort Worth,TX,76101,United States,7159,7435.5,3228.29
6781,Andrea Watts,Watts,Andrea,Female,937-240-1610x5612,456 Maple Ave,Apt 9B,Miami,FL,33101,United States,4580,7632.82,8234.5
6511,Clayton Rowe,Rowe,Clayton,Male,929.977.6938x536,321 Cypress Cir,,El Paso,TX,79901,United States,9226,6217.1,9465.83
7083,Madison Contreras,Contreras,Madison,Female,+1-866-382-2307x69160,123 Chestnut St,,Detroit,MI,48201,United States,2592,9213.06,5700.63
2728,Mark Mcpherson,Mcpherson,Mark,Male,(276)475-5701,467 Spruce St,Apt 5,Albuquerque,NM,87101,United States,2069,5499.28,6497.39
2770,Joy Ross,Ross,Joy,Female,001-523-920-0288x988,987 Juniper Rd,,Boston,MA,2101,United States,3024,9978.9,5899.21
8556,John Lee,Lee,John,Male,323.256.6449x521,951 Hickory St,Apt 7,San Jose,CA,95101,United States,4743,8435.09,1917.25
5168,Donald Bradshaw,Bradshaw,Donald,Male,(459)959-3740x380,654 Elm St,Apt 4C,Phoenix,AZ,85001,United States,1450,5339.97,7755.59
4006,Suzanne Rice,Rice,Suzanne,Female,(384)565-1393x2130,248 Magnolia Ct,,Austin,TX,73301,United States,8133,6436.84,4990.98
7455,William Sanders,Sanders,William,Male,957.387.6832x0834,907 Oak St,,Sacramento,CA,94203,United States,8240,4430.88,6691.97
1085,Mark White,White,Mark,Male,+1-730-763-8049x313,248 Maple Ct,,Baltimore,MD,21201,United States,3460,9447.18,5522.2
9449,Joanna Garcia,Garcia,Joanna,Female,(433)366-3261x2802,159 Willow Ln,,Memphis,TN,38101,United States,7784,3215.17,6676.59
7580,Mario Tran,Tran,Mario,Male,(457)507-1211,456 Alder Ave,,Seattle,WA,98101,United States,7535,6204.72,5323.22
4722,Brenda Cabrera,Cabrera,Brenda,Female,+1-341-712-1413x5943,987 Cedar Rd,,Philadelphia,PA,19101,United States,8015,3566.45,2319.43
4480,Gloria Evans,Evans,Gloria,Female,5279222408,654 Fir St,,Nashville,TN,37201,United States,5922,8357.78,1845.49
4558,Melissa Murphy,Murphy,Melissa,Female,(237)637-2710x13114,679 Spruce Ln,,Santa Ana,CA,92701,United States,2220,9191.33,1069.83
6426,Alison Marsh,Marsh,Alison,Female,957-277-9068,248 Maple Ct,,Baltimore,MD,21201,United States,5610,4189.22,8567.09
9081,Amy Green,Green,Amy,Female,+1-395-272-3536x17512,753 Birch Cir,Suite 4,Portland,OR,97201,United States,6800,1358.92,4862.91
7245,Margaret Newman,Newman,Margaret,Female,+1-801-282-4729x521,654 Fir St,,Nashville,TN,37201,United States,7252,4931.3,3194.09
1674,Robin Yates,Yates,Robin,Female,+1-493-754-2506x7909,159 Spruce Ln,,San Antonio,TX,78201,United States,2760,3257.73,4854.36
9263,Samantha Barr,Barr,Samantha,Female,(299)264-5740x19037,467 Cedar St,,Anaheim,CA,92801,United States,6170,2241.33,3264.97
6698,Jake Payne,Payne,Jake,Male,001-441-327-8980x882,159 Sycamore Ln,,Wichita,KS,67201,United States,8112,4722.66,2402.95
9166,Brandon Barnett,Barnett,Brandon,Male,+1-226-427-1397x12744,248 Birch Blvd,,Arlington,TX,76001,United States,4046,7301.42,7661.16
4344,Teresa Davis,Davis,Teresa,Female,300.878.6556x1932,467 Sycamore St,Apt 12,San Francisco,CA,94101,United States,5035,9280.9,3896.76
1030,Mark Pena,Pena,Mark,Male,(977)736-6901,753 Chestnut Cir,,New Orleans,LA,70112,United States,7472,9654.35,3510.97
1879,John Rios,Rios,John,Male,(247)282-1234x2984,159 Willow Ln,,Memphis,TN,38101,United States,2193,8545.88,7560.27
5289,Michelle Baird,Baird,Michelle,Female,4867077967,789 Pine Cir,,Raleigh,NC,27601,United States,5392,3934.58,8112.59
7076,Jenna Wong,Wong,Jenna,Female,641.990.9325x67931,654 Redwood St,Unit 8,Colorado Springs,CO,80901,United States,9411,9713.28,6852.77
4937,Cheryl Moore,Moore,Cheryl,Female,+1-223-327-4870,654 Redwood St,Unit 8,Colorado Springs,CO,80901,United States,4486,9914.48,2500.53
9475,Kevin Taylor,Taylor,Kevin,Male,001-809-923-1892,753 Willow Cir,Suite 10,San Diego,CA,92101,United States,6968,3892.85,3489.04
7206,Christopher Moore,Moore,Christopher,Male,001-494-448-4509x68828,123 Cedar St,,Atlanta,GA,30301,United States,4386,2565.81,1866.51
5647,Amber Garcia,Garcia,Amber,Female,804-826-2825,467 Spruce St,Apt 5,Albuquerque,NM,87101,United States,4338,7721.26,7926.12
8698,Hannah Benson,Benson,Hannah,Female,550-278-9981,987 Juniper Rd,,Boston,MA,2101,United States,1096,1323.22,1521.65
4209,Robert Kaufman,Kaufman,Robert,Male,001-456-969-2204,159 Sycamore Ln,,Wichita,KS,67201,United States,5092,2001.24,9760.2
7813,Kevin Meyers,Meyers,Kevin,Male,(341)913-8670,890 Chestnut Ave,,Fresno,CA,93701,United States,1265,4254.13,3308.31
3412,Gregory Davis,Davis,Gregory,Male,(810)859-9598,987 Dogwood Rd,,Minneapolis,MN,55401,United States,5149,7787.16,6806.62
8758,Lauren Juarez,Juarez,Lauren,Female,001-330-433-1014x441,123 Cedar St,,Atlanta,GA,30301,United States,7203,2518.44,8659.88
9903,Zachary Carter,Carter,Zachary,Male,858.524.1024x72323,951 Oak St,Apt 7A,Tampa,FL,33601,United States,1400,9602.35,4019.75
6711,Jonathon Watson,Watson,Jonathon,Male,(851)671-7819,789 Maple Dr,Apt 3B,Denver,CO,80201,United States,1983,1072.07,6181.24
4308,Jeffery Sawyer,Sawyer,Jeffery,Male,377.487.3193,890 Chestnut Ave,,Fresno,CA,93701,United States,3892,4755.93,7402.59
