sales_order_id,customer_id,order_date,quantity,total_price,payment_status,shipping_address,description,created_at,car_id,salesman_id
SO46029,CUST95597,2025-01-16T10:07:11,93,775.85,Pending,"22088 Warren Keys Suite 367
South Brandonburgh, HI 50291",Skin consumer own room language fine.,2025-01-10T03:45:57,CE21780,salesman_6841
SO61687,CUST39631,2025-01-05T10:03:01,7,111.26,Pending,"6489 Johnny Estate
North Kyle, AL 89595",Free spring possible company.,2025-01-13T12:43:01,ev11141,salesman_0505
SO91331,CUST99340,2025-01-10T02:36:35,62,14.05,Failed,"981 Adrian Flats Apt. 801
Johnborough, MS 44017",Use that after especially out.,2025-01-06T22:41:47,hc28628,salesman_0505
SO63437,CUST09208,2025-01-10T14:06:53,55,957.32,Failed,"0551 Joseph Point Suite 006
Johnsonburgh, TN 37592",Would garden teach information she.,2025-01-17T22:13:49,Zf18362,salesman_3489
SO82265,CUST33170,2025-01-04T12:25:29,23,775.9,Failed,"USNS Hardin
FPO AP 11921",International particular though subject.,2025-01-13T15:33:00,uE97686,salesman_3895
SO25594,CUST07313,2025-01-04T19:12:53,96,865.25,Pending,"4682 Brown Harbors
New Andrea, PR 06992",Vote because deep next add than.,2025-01-01T05:21:18,Xf98012,salesman_2203
SO72041,CUST52767,2025-01-03T02:02:55,58,544.95,Paid,"34837 Stephen Valleys Apt. 860
Port Kim, ID 52983",Pattern card marriage often.,2025-01-13T07:14:45,ey10203,salesman_8832
SO97592,CUST94948,2025-01-08T16:28:59,87,342.21,Paid,"Unit 1268 Box 8215
DPO AA 46393",Finish artist suggest ten rate place.,2025-01-14T15:36:35,vz07551,salesman_4050
SO58110,CUST81198,2025-01-07T07:08:57,45,716.03,Paid,"6452 Cheyenne Wall Suite 123
Donaldview, PR 30552",Recognize allow everyone role available same represent carry.,2025-01-12T16:36:12,es64020,salesman_4147
SO94217,CUST63722,2025-01-18T03:36:58,28,453.22,Paid,"7410 Maria Mills
East Tammyside, MT 10545",Its home foot stay administration always week.,2025-01-12T17:41:29,JK45731,salesman_3489
SO47296,CUST34388,2025-01-02T04:42:19,24,967.64,Failed,"471 Bradley Summit
North Mariamouth, LA 55866",Place newspaper those few.,2025-01-04T02:02:55,pJ93005,salesman_0421
SO60797,CUST67085,2025-01-08T12:28:26,9,718.94,Pending,"21130 Michael Trafficway
Nelsonfort, NE 91142",Area short too if probably difference join.,2025-01-07T08:42:51,KF79933,salesman_5431
SO87529,CUST35286,2025-01-01T18:16:49,11,387.27,Paid,"4329 Guzman Turnpike
Port Amandaside, AL 14582",Music baby structure entire staff tax language.,2025-01-10T09:43:35,qC43107,salesman_5217
SO92147,CUST70841,2025-01-04T08:31:14,49,310.67,Failed,"038 Connor Falls
Drakemouth, MD 99075",Before population pay society.,2025-01-13T10:33:27,VI43880,salesman_7957
SO93428,CUST18913,2025-01-14T06:32:09,75,601.43,Pending,"USS Jones
FPO AP 11217",Learn front management example fact early animal.,2025-01-03T04:15:53,ic27261,salesman_0476
SO45097,CUST17936,2025-01-04T02:15:36,98,509.11,Failed,"41333 John Lodge
Sarahshire, MI 98497",Two so both phone operation much.,2025-01-16T02:38:40,Eu53021,salesman_8734
SO58223,CUST67467,2025-01-15T12:04:45,71,181.53,Pending,"PSC 9508, Box 9095
APO AP 96006",Know move stuff than fact.,2025-01-07T07:45:32,dC13333,salesman_7808
SO69267,CUST18024,2025-01-04T06:19:15,85,195.0,Failed,"7249 Wilson Plaza
Port Spencer, NH 79271",Tree meet lot bad loss respond.,2025-01-10T11:19:12,gq55041,salesman_0467
SO60544,CUST73576,2025-01-13T07:37:11,78,695.81,Pending,"PSC 9775, Box 4551
APO AP 81202",Life production difference beat stage amount.,2025-01-06T01:07:43,pT88299,salesman_6841
SO76967,CUST53613,2025-01-15T19:28:38,30,31.67,Pending,"15799 Cole Drive
North Ashley, PW 09776",Baby both everyone American.,2025-01-01T19:12:01,pJ93005,salesman_4555
SO40743,CUST59682,2025-01-03T07:49:32,5,835.85,Failed,"388 Chavez Harbor Apt. 660
Roymouth, IA 39180",Tv serious page important occur tough.,2025-01-12T01:31:30,Mj60340,salesman_8734
SO85484,CUST27818,2025-01-16T16:39:19,99,851.15,Paid,"0870 Wilson Cliffs Suite 370
Lake Tylerchester, TN 51604",Day debate high.,2025-01-06T21:08:48,gu85564,salesman_4914
SO91023,CUST93616,2025-01-16T21:34:57,72,43.29,Pending,"7997 Jennifer Junctions
Lake Robert, IL 63874",Father word available federal benefit.,2025-01-11T11:16:14,Wq43757,salesman_0265
SO15321,CUST40240,2025-01-15T16:52:48,21,636.41,Paid,"2392 Carter Ports Suite 535
Port Tristanmouth, AZ 60278",Personal thank reveal unit very you.,2025-01-11T18:55:43,dI83417,salesman_4987
SO30615,CUST83277,2025-01-17T19:35:20,38,92.54,Paid,"897 Sawyer Plaza Apt. 584
Port Edwardchester, DC 10755",Down amount science more teach over do.,2025-01-14T05:42:55,Np25200,salesman_5843
SO41132,CUST56387,2025-01-07T12:16:01,30,345.37,Failed,"7273 Griffin Plaza Apt. 908
Roberthaven, MD 52032",Magazine look enter particular both list sport.,2025-01-15T14:15:06,uW08251,salesman_2365
SO33164,CUST21849,2025-01-12T22:06:49,5,966.2,Pending,"99611 Velasquez Circles Suite 823
Lake Kathryn, PA 54948",Agent government rock when fast huge.,2025-01-03T04:59:30,Vm50802,salesman_5819
SO28660,CUST85140,2025-01-15T06:19:29,73,512.4,Paid,"02408 Jordan Hollow
Maddenmouth, TN 17555",Kind assume director yet.,2025-01-06T10:19:47,vf91351,salesman_5843
SO20635,CUST85436,2025-01-06T22:00:49,1,379.73,Paid,"87194 Joseph Villages
Cooperside, NM 41576",Someone adult recently expert window.,2025-01-09T01:42:21,fB28264,salesman_5970
SO49306,CUST20732,2025-01-17T08:13:27,36,982.03,Paid,"76366 Leslie Ports Apt. 939
Wernerborough, MO 67812",Two ahead hit threat.,2025-01-10T01:16:20,gu85564,salesman_4555
SO34600,CUST71421,2025-01-13T15:12:07,43,533.13,Paid,"929 Tammy Harbors Apt. 268
Harrybury, LA 14926",Change community high require town assume big.,2025-01-10T16:59:07,Mj60340,salesman_7957
SO73722,CUST56036,2025-01-11T15:19:17,95,779.44,Pending,"68346 Thompson Motorway
Port Jacqueline, PA 86127",Learn else field light current challenge area.,2025-01-05T05:03:46,Fm27915,salesman_5189
SO84244,CUST53830,2025-01-13T12:40:03,100,284.93,Paid,"52429 Katherine Greens
South Jenniferbury, MT 41705",Nearly enough explain more alone outside pattern.,2025-01-07T19:45:21,fB28264,salesman_7808
SO05973,CUST72076,2025-01-11T20:36:49,58,999.86,Paid,"582 Michael Plaza Apt. 000
New John, UT 86470",Door step old total back up.,2025-01-02T12:52:49,Db37233,salesman_5843
SO26307,CUST30335,2025-01-17T06:00:00,43,895.16,Paid,"6683 Davis Bridge
West Rachel, PW 75973",Police have teacher thing.,2025-01-15T19:30:28,Ya52368,salesman_0505
SO91841,CUST28158,2025-01-16T03:44:27,55,547.81,Failed,"400 Madeline Landing
Port Lisabury, KS 50911",Already sort build exist require two feel.,2025-01-12T08:19:14,qU76158,salesman_5530
SO84809,CUST84714,2025-01-18T11:19:47,59,591.25,Failed,"Unit 2106 Box 3056
DPO AA 01650",Wonder first decade.,2025-01-02T21:57:25,ep77432,salesman_1433
SO25029,CUST93842,2025-01-08T22:23:11,95,72.77,Failed,"67697 Thomas Ramp Suite 152
Lake Brookechester, PR 99262",City catch everything it movement performance model.,2025-01-13T19:28:09,VL49742,salesman_7747
SO97866,CUST51953,2025-01-13T20:28:17,25,881.88,Pending,"5680 Travis Expressway
North Eric, OK 39363",Population stock central one.,2025-01-06T08:09:40,dC13333,salesman_2292
SO75861,CUST56393,2025-01-17T00:55:30,90,431.26,Paid,"78480 Lopez Ford
Lake Carrie, VT 95592",History reflect game new represent.,2025-01-02T14:16:26,ir00434,salesman_8832
SO61749,CUST57842,2025-01-12T02:38:21,70,956.06,Pending,"20511 Ford Union
South April, NC 77443",Town debate us us commercial magazine large.,2025-01-13T08:55:08,EC03788,salesman_4465
SO53634,CUST91653,2025-01-16T08:56:52,42,984.36,Failed,"133 Turner Row
Samuelshire, WI 80007",Off explain want involve move.,2025-01-07T03:41:18,Pl20131,salesman_8514
SO95285,CUST60380,2025-01-05T19:52:23,37,30.33,Paid,"298 Robinson Estate
West Gregorymouth, PR 30424",Water southern place full increase very authority.,2025-01-13T00:30:59,zA60775,salesman_0476
SO69327,CUST98638,2025-01-17T00:48:31,83,788.09,Paid,"43883 Bailey Path
Lake Isaactown, TN 13262",Common one skill level.,2025-01-13T20:55:05,df83423,salesman_2939
SO96554,CUST80913,2025-01-04T06:43:45,66,298.17,Paid,"Unit 3115 Box 5316
DPO AE 05597",Country opportunity strategy matter however scene start.,2025-01-14T04:34:49,Fo28280,salesman_9214
SO05194,CUST19398,2025-01-04T20:03:00,80,899.07,Pending,"51452 Martinez Lakes
Port Duane, ID 67328",Effect how read main.,2025-01-06T11:49:09,Gn61678,salesman_7503
SO63436,CUST24188,2025-01-14T01:50:40,59,702.6,Paid,"558 Moore Orchard Suite 998
East Andrew, PR 34444",Here partner charge that ago human.,2025-01-04T21:48:06,Lu37661,salesman_8514
SO33135,CUST24214,2025-01-05T13:00:58,58,921.1,Paid,"084 Davis Harbor Apt. 088
Karenview, ID 45846",Own wide effort song news sing.,2025-01-04T14:18:40,Sk52982,salesman_2397
SO89704,CUST23763,2025-01-15T23:51:52,12,709.84,Pending,"641 Wilson Light Suite 641
Carlosstad, VI 01563",Say election manager scientist record.,2025-01-12T22:40:48,nL29092,salesman_7503
SO10992,CUST14851,2025-01-13T06:10:18,52,605.62,Failed,"501 Day Track
East Ryanshire, WA 88959",Against by would general language.,2025-01-10T23:02:31,qC43107,salesman_2365
SO08865,CUST47066,2025-01-08T22:41:06,1,352.87,Pending,"9806 Grimes Inlet Suite 949
Cookland, KS 72650",Move town statement police include his.,2025-01-16T23:37:55,qw86241,salesman_5517
SO93594,CUST45918,2025-01-08T13:38:22,70,378.22,Failed,"205 Christopher Club Suite 190
Saraside, HI 01237",Single final popular head.,2025-01-07T00:36:46,dC13333,salesman_4914
SO67163,CUST77480,2025-01-08T08:49:20,39,667.26,Failed,"3353 Jennifer Isle
New Deborah, MH 78233",Section along at offer able result.,2025-01-09T14:40:37,Vm50802,salesman_6799
SO90798,CUST97498,2025-01-03T05:06:47,93,334.36,Failed,"979 Osborn Court
Lake Jennifer, VI 25394",Whom treatment check bar.,2025-01-16T15:10:03,Cr25792,salesman_9662
SO89183,CUST59967,2025-01-04T13:34:02,97,701.25,Paid,"748 Megan Track
New Mariahstad, OR 28906",Low himself however next apply.,2025-01-07T14:25:53,Tb17825,salesman_6964
SO42329,CUST65678,2025-01-03T05:20:29,32,376.53,Paid,"19746 Ruth Cliffs Apt. 803
Williamston, NC 72016",Meeting decade year hospital staff.,2025-01-12T19:04:48,ev11141,salesman_7747
SO47198,CUST29124,2025-01-13T04:12:00,65,605.94,Paid,"19470 Smith Causeway Suite 137
South Laurie, MN 47755",Surface my avoid thing necessary address.,2025-01-16T12:39:36,uF88945,salesman_6841
SO54462,CUST30855,2025-01-17T09:41:44,65,243.64,Pending,"2627 Grant Prairie Suite 293
Kylefort, CA 22061",Management modern program.,2025-01-14T13:14:11,no53642,salesman_7503
SO26373,CUST27845,2025-01-08T06:16:05,22,983.91,Failed,"810 Flynn Light
Elizabethtown, PA 52514",Itself itself of church.,2025-01-03T02:12:29,FB70607,salesman_2203
SO06793,CUST25439,2025-01-04T10:30:08,50,911.39,Paid,"036 Hill Manor
New John, MP 40660",Away girl truth tend tell service.,2025-01-08T18:27:46,EC03788,salesman_2203
SO72891,CUST23518,2025-01-03T05:09:14,86,708.67,Failed,"43589 Larson Lake
New Justinside, VI 51957",Tend provide allow make present personal.,2025-01-11T10:59:46,Ro99394,salesman_4648
SO15764,CUST19331,2025-01-10T16:19:27,63,120.26,Failed,"346 Ross Forges
North Stephaniefurt, NC 74868",Culture control agency himself party prepare.,2025-01-18T05:10:40,zN55525,salesman_9082
SO43740,CUST86181,2025-01-01T21:43:29,90,476.47,Pending,"00057 Rowe Expressway Suite 119
Coleville, IA 32103",Concern according site nor walk year indeed.,2025-01-04T11:11:43,Dc87844,salesman_4987
SO33906,CUST90101,2025-01-13T11:28:09,47,102.51,Failed,"PSC 4788, Box 2221
APO AE 43073",Standard number dinner whose blood every night.,2025-01-07T12:19:19,gQ08544,salesman_0505
SO01653,CUST82854,2025-01-05T23:47:05,9,12.47,Failed,"72857 Matthews Port Apt. 184
Boonestad, MT 21989",Mean condition serve agent.,2025-01-16T16:29:27,xI98148,salesman_0265
SO71604,CUST65427,2025-01-13T13:01:15,57,916.87,Pending,"6884 Bowman Burgs
Lake Jeffbury, AK 75873",Court baby note go husband prepare.,2025-01-17T22:28:37,pi57551,salesman_4147
SO45849,CUST30483,2025-01-01T16:12:51,3,857.48,Pending,"5700 Brown Harbors
Walkerburgh, AS 44973",Example pattern situation fact.,2025-01-11T07:56:04,FB70607,salesman_3560
SO96798,CUST54060,2025-01-07T22:51:30,65,761.28,Failed,"8633 Mark Gardens
Carterberg, KY 43183",Operation country indeed plan power.,2025-01-10T00:16:24,fJ41239,salesman_1817
SO61651,CUST80661,2025-01-14T21:33:34,88,987.98,Pending,"6310 Holt Common Apt. 131
Baileyville, ME 31314",Arm thank one.,2025-01-01T13:53:47,Xf98012,salesman_5067
SO31487,CUST98994,2025-01-06T10:28:44,68,682.82,Pending,"6641 Mcdaniel Roads Apt. 229
West Barbaraberg, NC 95711",Buy campaign central might nearly your today.,2025-01-06T19:35:03,Vm50802,salesman_0505
SO05603,CUST68555,2025-01-11T05:47:20,63,533.61,Pending,"USNS Brown
FPO AA 44622",Training behavior candidate up computer use.,2025-01-11T10:21:59,lv87334,salesman_8832
SO11664,CUST27198,2025-01-07T21:43:20,75,795.19,Pending,"Unit 9470 Box 3035
DPO AA 40960",Require your big start work exist amount.,2025-01-15T01:50:13,Eu53021,salesman_8514
SO38985,CUST02857,2025-01-17T07:46:59,53,500.16,Pending,"PSC 9896, Box 9549
APO AP 20066",Democratic cultural remember ok compare study occur.,2025-01-11T22:40:55,Dc92952,salesman_4914
SO36833,CUST90655,2025-01-04T19:55:32,15,84.97,Failed,"88346 Susan Path Apt. 810
West Jasmine, NM 11233",Garden owner program analysis customer economy these.,2025-01-10T03:44:19,Gn61678,salesman_5517
SO12299,CUST63450,2025-01-11T19:05:49,8,761.84,Failed,"355 Amber Mount Suite 051
Laurenberg, OR 82864",Alone always each.,2025-01-06T09:03:22,sM58523,salesman_2397
SO30885,CUST37262,2025-01-04T10:36:14,36,3.22,Paid,"USCGC Neal
FPO AA 69437",Focus indeed behavior media street which order least.,2025-01-09T02:52:57,zw76292,salesman_0476
SO55678,CUST82468,2025-01-14T00:48:51,4,213.17,Paid,"52130 Maria Via
Lake Ann, MN 33995",Blue everyone real night language hope.,2025-01-09T16:51:13,Qd52693,salesman_8832
SO22926,CUST89534,2025-01-12T05:24:34,21,703.08,Paid,"9802 Mcguire Shoal Suite 376
Lake Leslieshire, UT 73351",Leader conference vote modern physical.,2025-01-05T14:51:56,SU59415,salesman_7808
SO76731,CUST66060,2025-01-05T12:19:12,92,753.33,Failed,"36449 Vickie Pike Apt. 527
Kellerville, UT 03746",A of decision try magazine.,2025-01-16T22:03:28,Xe63938,salesman_2939
SO37601,CUST12119,2025-01-17T12:50:46,96,406.57,Paid,"4713 Jesus Shoal
North Jeffreytown, RI 16872",Situation challenge suddenly ten.,2025-01-10T20:42:39,Fo28280,salesman_4147
SO50988,CUST32924,2025-01-10T02:55:25,98,710.25,Failed,"0045 Hunt Crossroad Apt. 976
South Leroystad, AL 70976",Leader new most group beyond team watch.,2025-01-02T10:19:47,Mj60340,salesman_9767
SO71206,CUST46365,2025-01-04T09:32:20,83,247.89,Failed,"88338 Reynolds Brooks
Josehaven, MS 15611",Of force onto series.,2025-01-13T17:26:44,ID23520,salesman_5843
SO35996,CUST96710,2025-01-14T22:44:27,74,62.8,Paid,"893 Holder Expressway
Heatherville, MH 20599",Thank result short budget.,2025-01-10T11:32:00,Cr25792,salesman_7051
SO99021,CUST91172,2025-01-06T17:11:05,40,227.45,Paid,"576 Holloway Cliffs
South Andreaborough, AL 53891",Probably me our understand continue feeling available.,2025-01-09T11:16:28,Ro99394,salesman_3140
SO28727,CUST95965,2025-01-04T06:41:31,62,83.59,Failed,"5033 Gonzalez Extension
New Connorside, WI 89181",Ball finally military simply perform.,2025-01-02T16:06:37,ev11141,salesman_2397
SO43938,CUST74987,2025-01-04T18:16:15,38,299.13,Pending,"3465 Christopher Crest
Mcmahonland, LA 85393",Argue world raise hundred final sell lay start.,2025-01-16T08:40:22,jg16767,salesman_5067
SO23403,CUST85747,2025-01-09T14:44:27,19,968.06,Failed,"464 Rivera Court Suite 284
Herbertberg, CO 96363",Way particular bring well whom ok.,2025-01-13T22:14:06,aM30388,salesman_6101
SO99456,CUST18149,2025-01-07T05:57:46,46,530.95,Paid,"666 Reynolds Parkway
Rogershaven, VI 30521",To run realize investment clear network claim.,2025-01-18T12:12:03,jg16767,salesman_5189
SO03360,CUST64475,2025-01-09T13:31:51,97,856.8,Pending,"981 Michael Fords Apt. 674
New Jeremiahton, PR 06698",None time line authority.,2025-01-11T19:40:04,Kt24904,salesman_9720
SO06907,CUST87534,2025-01-05T10:59:04,75,818.87,Pending,"9881 Marie Mews Apt. 448
Lambertburgh, MT 18305",Worker because everybody magazine management occur seven.,2025-01-17T22:46:36,KT79795,salesman_4050
SO28468,CUST49547,2025-01-05T09:47:14,37,527.18,Paid,"922 White Squares Suite 983
Jacksonview, PW 51827",Buy me develop our.,2025-01-09T12:15:03,Gq32811,salesman_5081
SO23644,CUST09739,2025-01-18T04:56:08,59,849.85,Paid,"5357 Bates Heights Apt. 745
Ginatown, IA 71118",Under find arrive us.,2025-01-12T19:45:58,dc45476,salesman_3895
SO60058,CUST74357,2025-01-17T06:53:17,71,437.89,Pending,"028 Jones Viaduct
Johnport, UT 16113",Myself sister such ok break performance use.,2025-01-06T07:40:56,OM61239,salesman_4050
SO46173,CUST99022,2025-01-03T13:59:28,27,666.71,Failed,"671 Cassandra Road Suite 485
New Alicia, KY 68801",Pretty letter or.,2025-01-06T13:23:09,nL29092,salesman_0505
SO79872,CUST84061,2025-01-15T19:18:21,83,544.93,Paid,"00027 Kimberly Forges
Port Jordanville, CT 01894",Nothing learn various.,2025-01-14T16:45:05,Ya52368,salesman_7051
SO37553,CUST21690,2025-01-04T20:37:08,20,841.66,Paid,"26990 Mills Vista
Heathermouth, CA 08055",Better administration explain you.,2025-01-03T12:43:30,Sa27890,salesman_8355
SO49249,CUST98526,2025-01-13T03:06:24,2,211.43,Paid,"972 Thomas Court Apt. 268
Mullinston, CO 24648",Agent open surface.,2025-01-03T05:02:15,Vp00926,salesman_7808
SO14266,CUST53347,2025-01-04T06:35:09,7,969.52,Paid,"1385 Boyd Station
Lake Brooke, WV 96282",Big human million recently choice.,2025-01-06T05:57:26,Fm27915,salesman_2203
SO08666,CUST36176,2025-01-06T01:50:52,91,846.83,Pending,"6392 Christopher Ridge Suite 251
Meghanfurt, PR 40165",Culture travel red story result produce.,2025-01-01T14:35:35,Gy63803,salesman_2939
