salesman_id,name,region,sales_target,sales_achieved,description,customer_id,commission_rate,hire_date,manager_id,phone
salesman_4115,Shannon Higgins,Mirandaborough,45192,33409,Operation enjoy mouth walk success subject read culture suggest hit natural respond wonder.,customer_6524,14,2023-07-02,manager_2719,3179830049x6237
salesman_0622,Ashley Jones,East James,36082,26039,List name single image spring vote modern green a issue music table piece.,customer_2285,9,2021-07-21,manager_6911,6553377837x830
salesman_0504,John Black,Gabriellastad,24572,38180,Itself financial next south continue fast ground guy suddenly ready real various.,customer_4142,15,2023-10-12,manager_1309,5534920073x5118
salesman_2127,Brandon Ross,Port Lisabury,34210,25458,Walk describe its picture trip suggest.,customer_7400,20,2022-07-11,manager_3588,+17153933748x23250
salesman_7957,Lynn Hall,New Jeffrey,38301,6917,Fine join ground rule far ago.,customer_2987,15,2021-11-23,manager_8074,610.215.3380
salesman_4850,Sandra Harris,West Gregory,30173,17201,Focus special against author meeting need quality beyond design sort camera not science.,customer_2695,1,2025-01-16,manager_1529,3356581803
salesman_5088,Robert King,Brianstad,14550,26290,Say coach author natural force ask treat concern theory at.,customer_4289,8,2020-05-01,manager_4771,2454499027
salesman_8504,Antonio Watkins,Stephaniemouth,23823,1011,Partner front cut police final eight.,customer_8621,3,2021-05-14,manager_5721,+16039705467x470
salesman_2939,Melissa Hanson,South Rebecca,42056,5612,Player sure color then including country audience protect sort.,customer_3620,10,2024-04-16,manager_6149,7638477840
salesman_7452,Samantha Medina,Davidland,26647,46591,Find political price discuss industry stand.,customer_9374,15,2023-12-14,manager_7050,0014339175661
salesman_0803,Brian Boyd,East Veronica,4008,11397,Their let really benefit would hundred.,customer_6919,9,2023-11-01,manager_0955,605.735.6667
salesman_1817,Sarah Hardy,Taylorfurt,41243,12158,Trip stand walk pay start early.,customer_8585,7,2021-12-29,manager_2429,7125069029
salesman_3489,Dr. George Mitchell,Ayersport,27110,10911,Toward alone keep simply move able few eye data these investment religious particularly.,customer_3603,1,2020-05-17,manager_7651,605.857.0390x6967
salesman_4914,Rachel Brown,Kellyhaven,18793,44557,Reach stay cut subject voice star worry west create least seat positive play.,customer_0259,3,2020-08-30,manager_8579,7109739796
salesman_8835,Kimberly Jackson,Greenemouth,16357,35140,Us remember situation interesting subject question spend region choose live apply ever world.,customer_8897,14,2024-08-27,manager_2723,3263216371
salesman_4465,Susan Parker,North Allen,7903,8178,Body activity expert open necessary per should compare.,customer_8602,16,2020-10-05,manager_3612,7276617261x4273
salesman_0394,Patrick Collins,East Jackson,18735,10704,Page member probably partner skill court year avoid question bad arm.,customer_2760,7,2024-04-30,manager_7113,7393615300
salesman_3613,Ashley Thompson,Michaelhaven,17068,27268,Reduce small special born raise moment entire walk forget skin can term clearly.,customer_5149,17,2024-06-26,manager_0477,8286004736
salesman_5189,Tracey Walker,East Georgemouth,25274,4496,Toward operation enjoy way method both who young various you.,customer_3287,16,2021-09-17,manager_5958,6337997655
salesman_4648,Alicia Goodman,Mauriceville,36313,10954,Opportunity democratic worker spend special little focus hotel kind short particular may.,customer_4816,20,2024-09-03,manager_2896,986.365.1618x85963
salesman_7051,Lindsey Garcia,Lake Stephaniebury,8796,30766,Drop together ball easy mind behavior nearly line consider perhaps ground.,customer_3323,5,2022-02-05,manager_8627,6239847818x218
salesman_3678,John Stewart,Charleschester,48702,20394,All commercial collection if land market door center someone baby cut concern.,customer_0604,19,2024-09-03,manager_9789,6708075258
salesman_2540,Edward Chen,Hernandezbury,32477,15306,After coach return nearly myself describe tell rate soon also.,customer_6626,13,2024-12-12,manager_3267,277.957.4660
salesman_5264,Anthony Galvan,Meyerbury,45215,41322,Audience education bag thank structure natural that young operation family all.,customer_8426,11,2024-10-28,manager_8606,2967867754x188
salesman_5081,Michael Brown,North Joseph,49532,42310,Election attack maintain truth whose meet half.,customer_0782,10,2022-04-21,manager_5916,+16444749754x803
salesman_3987,Crystal Mann,New Alexhaven,32805,38918,Role back wait necessary a weight air bring staff certain senior series.,customer_3428,19,2023-08-22,manager_9544,423.385.3310x684
salesman_8355,George Henderson,North Lindsayport,48525,20523,How firm north determine campaign most.,customer_9004,12,2023-01-29,manager_1674,7617825749
salesman_9945,Anne Russell,Brownborough,12847,44136,Three cover minute prove soon present teacher environmental sit central sometimes dog sport.,customer_7459,16,2022-10-08,manager_7271,5547979544
salesman_9767,James Cooper,New Madeline,7841,22006,Music guy allow culture suddenly enter everything travel bed happy heavy.,customer_8045,14,2022-12-01,manager_7307,9904409446
salesman_1484,Joanna Moore,Port Monicaport,14513,2968,Enjoy maintain road national forget stop class.,customer_9425,14,2024-11-05,manager_5381,460.486.6517x9887
salesman_0487,William Santiago,East Ralphstad,14879,49794,Rich idea study sit whose movie everything car there.,customer_9314,14,2024-11-21,manager_3107,+13973276819x2225
salesman_6916,Melanie Wright,New Robert,31323,31162,Everyone discuss avoid agree agency interview unit in fire detail sound meeting.,customer_5986,4,2021-10-12,manager_6156,0016182243985x3751
salesman_4147,Michelle Harvey,Martinmouth,35920,19867,Subject along organization career guy realize care wind.,customer_7384,1,2020-06-28,manager_5134,6544041642x69758
salesman_1347,Frank Peterson,South Joseph,39416,46556,Reason finally down pressure style same manage himself.,customer_5210,4,2022-12-05,manager_1088,9968525426
salesman_7808,Douglas Keith,Jessicabury,18107,6285,Street perform hair main top will deal natural upon laugh government.,customer_1922,13,2021-05-22,manager_0065,8543453620
