customer_id  ,customer_name  ,customer_email  ,customer_phone  ,order_id  
CUST001,John Doe,johndoe@example.com,555-1234,ORDER001
CUST002,Jane Smith,janesmith@example.com,555-5678,ORDER002
CUST003,Emily Johnson,emilyj@example.com,555-8765,ORDER003
CUST004,Michael Brown,michaelb@example.com,555-4321,ORDER004
CUST005,Jessica Taylor,jessicat@example.com,555-1111,ORDER005
CUST006,David Wilson,davidw@example.com,555-2222,ORDER006
CUST007,Sarah Miller,sarahm@example.com,555-3333,ORDER007
CUST008,James Davis,jamesd@example.com,555-4444,ORDER008
CUST009,Laura Garcia,laurag@example.com,555-5555,ORDER009
CUST010,Robert Martinez,robertm@example.com,555-6666,ORDER010
